,ID,texto,desafio,prepro_text,sentiment
0,749,False,15,false,0.49789225920557484
1,748,Izquierda en lo que respecta a mi desprecio al capitalismo.Derecha porque soy antidelincuencia.,13,izquierda respectar desprecio capitalismo derecha ser antidelincuenciir,8.107461314468285e-09
2,747,Muy difícil de responder. Puedo pensar solo en referentes científicos y deportistas.,14,dificil responder poder pensar solo referente cientifico deportista,5.666682829253367e-24
3,746,"No tengo una posición muy formada, pero me identifico con el liberalismo. Completamente liberal en lo social, y relativamente en lo económico. ",12,tener posicion formado identificar liberalismo completamente liberal social relativamente economico,1.2840510380113796e-21
4,745,"No estoy al tanto de la rentabilidad de las empresas de colectivos. Sí creo que el subsidio podría ser una buena idea, pero para las personas que realmente lo necesitan. ",16,rentabilidad empresa colectivo si creer subsidio poder ser buen idea persona realmente necesitar,3.911900661346251e-06
5,744,"Concuerdo parcialmente, dependiendo de en que condiciones se de ese dinero (por ejemplo, cuanto dinero, por cuanto tiempo, si la persona demuestra estar en búsqueda laboral, si tiene niños pequeños, etc.).",15,concuerdir parcialmente depender condicion dinero ejemplo cuanto dinero cuanto tiempo si persona demostrar busqueda laboral si tener nino pequeno etc,0.07697525380910032
6,743,"Me siento mas identificado con los partidos de derecha. Mi principal motivo es que en mi país, Argentina, los partidos de izquierda están asociados a mucha corrupción. ",13,sentir mas identificado partido derecha principal motivo ser pais argentina partido izquierda asociado corrupcion,1.6669263153318644e-05
7,742,"Cristina Fernández de Kirchner. Creo que es la una de las pocas personas que garantiza que se defiendan los derechos de las clases populares, el interés nacional y nuestros recursos naturales (como el petróleo, el litio y el agua)",14,cristina fernandez kirchner creer ser persona garantizar defender derecho clase popular interes nacional recurso natural petroleo litio agua,0.009815102341285254
8,741,"Nacionalista y popular. Porque considero que la economía se debe manejar en función de los intereses de las mayorías, las clases populares y los intereses nacionales, en defensa de la patria y sus recursos, y defender un mercado interno fuerte con buenos salarios ",12,nacionalista popular considerar economia deber manejar funcion interes mayoria clase popular interes nacional defensa patria recurso defender mercado interno fuerte buen salario,0.015480930902669818
9,740,"No sé si ya están ganando más que suficiente, desconozco su realidad, pero siempre es necesario el control del estado y si es necesario el subsidio. Creo que actualmente hay un problema en cómo se distribuye el subsidio de transporte a nivel nacional, habría que darle menos a CABA y más al resto de las pronvincias ",16,saber si ganar mas suficiente desconocer realidad siempre ser necesario control si ser necesario subsidio creer actualmente haber problema distribuir subsidio transporte nivel nacional haber dar menos caba mas resto pronvincia,1.544475738891912e-05
10,739,"Creo que hay una idea errónea de los planes sociales. Muchas veces se los confunde con los salarios complementarios, que cobran muchas personas que ya trabajan, solo que lo hacen en la informalidad y sin derechos. Coincido con que el Estado debe ayudar a garantizar los derechos básicos mencionados. No coincido con la idea de que sea difícil conseguir trabajo, casi no conozco a nadie que no trabaje, el problema es la falta de derechos de trabajadores informales. Sería bueno mejorar sus derechos e implementar un salario básico universal",15,creer haber idea erroneo plan social vez confundir salario complementario cobrar persona trabajar solo hacer informalidad derecho coincido deber ayudar garantizar derecho basico mencionado coincidir idea ser dificil conseguir trabajo casi conocer nadie trabajar problema ser falta derecho trabajador informal ser bueno mejorar derecho implementar salario basico universal,0.00010554242041825717
11,738,"Me siento más identificado con los partidos de izquierda porque son los que luchan contra la desigualdad y no la ven como algo natural, como sí lo hace la derecha",13,sentir mas identificado partido izquierda ser luchar desigualdad ver natural si hacer derecha,2.812269548823199e-06
12,737,"A ninguna, ninguna figura relativamente conocida me genera esas emociones.",14,ninguno ninguno figura relativamente conocido generar emocion,0.0001672776977361575
13,736,"Creo que las narrativas en términos politicos y económicos actuales no están a la altura del mundo actual. Son ideologías viejas surgidas en contextos totalmente diferentes, no responden a las necesidades del mundo actual, sus problemáticas y sus avances. Estamos viviendo el inicio de la cuarta revolución industrial y tenemos herramientas sociales de la era de los motores a vapor. Pero respondiendo a la consigna; creo que en términos económicos me siento mas identificado con el libre flujo de capitales y con control activo de un BUEN estado. ",12,creer narrativa termino politico economico actual altura mundo actual ser ideologia viejo surgido contexto totalmente diferente responder necesidad mundo actual problematica avance vivir inicio cuarto revolucion industrial tener herramienta social motor vapor responder consigna creer termino economico sentir mas identificado libre flujo capital control activo buen,4.427551185978282e-13
14,735,"Totalmente en contra. La finalidad de cualquier empresa es ser rentable. Partiendo de esa premisa el coste del pasaje tiene que dar lugar a cubrir sus gastos y tener un margen. Se torna complicado cuando hablamos de empresas que prestan un servicio publico, pero si no podemos afrontar el coste real de un pasaje sin subsidios con un sueldo basico, eso nos dice que algo anda muy mal y las empresas no son el problema.",16,totalmente finalidad cualquiera empresa ser ser rentable partir premisa coste pasaje tener dar lugar cubrir gasto tener margen tornar complicado hablar empresa prestar servicio publico si poder afrontar coste real pasaje subsidio sueldo basico decir andar mal empresa ser problema,0.014913234526226508
15,734,"Si bien varios estudios han demostrado que darle un ingreso mensual genera un cambio positivo en la vida del individuo, la viabilidad de esta premisa es por lo menos, irrisoria. Los paises que pueden afrontar este gasto tiene economías fuertes y grandes reservas, antes de darle un ingreso directamente hay que evaluar de que forma se podria invertir el mismo dinero para generar un mayor impacto en la sociedad. Si no podes conseguir un trabajo porque no hay, entonces primero hay que atacar ese problema. ",15,si bien varios estudio haber demostrar dar ingreso mensual generar cambio positivo vida individuo viabilidad premisa ser menos irrisorio pais poder afrontar gasto tener economia fuerte grande reserva dar ingreso directamente haber evaluar forma podria invertir mismo dinero generar mayor impacto sociedad si poder conseguir trabajo haber entonces primero haber atacar problema,5.386949477293006e-16
16,733,"Podría decirse que mas de derecha. En general son por motivos económicos por sobre todo. Tambien pesa bastante la mala experiencia con partidos de ""izquierda"" en la Argentina, si bien coincido con varias premisas que plantean, la implementación y corrupción subyacente me han hecho reacio a identificarme con ellos.",13,poder decir mas derecha general ser motivo economico tambien pesar bastante malo experiencia partido izquierda argentina si bien coincido varios premisa plantear implementacion corrupcion subyacente haber hacer reacio identificar,7.15492133155553e-20
17,732,derecha,13,derecha,0.009641856119191328
18,731,"Estela de carloto, por su valentía y lucha",14,estela carloto valentia lucha,1.1182829155415906e-20
20,729,"El Estado regule, equitativo",12,regular equitativo,6.258363206946269e-14
22,727,"René Favaloro. Por su compromiso, profesionalismo y capacidad de generar cosas nuevas de manera creativa.",14,rene favaloro compromiso profesionalismo capacidad generar cosa nuevo manera creativo,2.6292227273178146e-14
23,726,"De centro izquierda. O, digamos, una izquierda moderada. ",12,centro izquierdo decir izquierda moderado,7.61329900492413e-24
24,725,"Creo que la gente opina sin saber, sin manejar datos específicos de lo que se está hablando. En este caso, subsidios a las empresas de transporte. No tengo una opinión formada al respecto pero creo que el estado debe asegurar la posibilidad de moverse de la gente. Sobre todo para acceder al trabajo.",16,creer gente opinar saber manejar dato especifico hablar caso subsidio empresa transporte tener opinion formado respecto creer deber asegurar posibilidad mover gente acceder trabajo,0.004334170807771594
25,724,"Creo que el tema de los planes sociales genera posiciones estereotipadas. Y reaviva preconceptos y prejuicios. Creo que los planes son necesarios para los que más desfavorecidos están en la escala social, los de menor poder adquisitivo.",15,creer tema plan social generar posicion estereotipada reavivar preconcepto prejuicio creer plan ser necesario mas desfavorecido escala social menor poder adquisitivo,1.944312539509109e-12
26,723,De izquierda. Porque claramente generan más conciencia social. ,13,izquierda claramente generar mas conciencia social,4.855087981144071e-10
27,722,Actualmente no tengo ningún referente de la política argentina.,14,actualmente tener ninguno referente politica argentino,3.578499577980963e-08
28,721,Me considero una persona de izquierda porque apoyo sus políticas ,12,considerar persona izquierda apoyo politica,8.377496940001077e-19
29,720,Estoy de acuerdo. Y el problema está en que la gente no puede pagar el transporte ,16,acuerdo problema gente poder pagar transporte,1.1567147840151797e-12
30,719,Estoy de acuerdo ,15,acuerdo,0.0014037679878325581
31,718,Ideas de izquierda. Son más justas,13,ideas izquierda ser mas justo,3.8348003990570526e-08
32,717,"Cristina Fernández. Es la persona mas influyente politicamente, la que mas relaciones positivas a nivel internacional genera, y la wur mas representa los intereses de la ckade trabajadora",14,cristina fernandez ser persona mas influyente politicamente mas relacion positivo nivel internacional generar wur mas representar interes ckade trabajador,4.906863943899236e-12
33,716,"Socialismo, partidos de izquierda... aunque muchas veces las acciones y decisiones de estos sectores no me representan porque actúan en base a intereses personales.. Hoy el sector que más representa mis intereses es el peronismo/kirchnerismo. ",12,socialismo partido izquierda aunque vez accion decision sector representar actuar base interes personal hoy sector mas representar interes ser peronismo kirchnerismo,0.04151062798947822
34,715,Cristina Fernández de Kirchner. Principal referente política del país.,14,cristina fernandez kirchner principal referente politico pais,2.57691040971685e-19
